Country,Region,Year, GDP_pp 
Bahamas,Central America and the Caribbean,1/1/1946,"6,289.83"
Bahamas,Central America and the Caribbean,1/1/1951,"6,798.31"
Bahamas,Central America and the Caribbean,1/1/1956,"10,027.95"
Bahamas,Central America and the Caribbean,1/1/1961,"14,404.41"
Bahamas,Central America and the Caribbean,1/1/1966,"18,377.29"
Bahamas,Central America and the Caribbean,1/1/1971,"19,229.52"
Bahamas,Central America and the Caribbean,1/1/1976,"13,458.39"
Bahamas,Central America and the Caribbean,1/1/1981,"19,643.98"
Bahamas,Central America and the Caribbean,1/1/1986,"22,024.19"
Bahamas,Central America and the Caribbean,1/1/1991,"20,600.50"
Bahamas,Central America and the Caribbean,1/1/1996,"20,329.14"
Bahamas,Central America and the Caribbean,1/1/2001,"22,600.19"
Bahamas,Central America and the Caribbean,1/1/2006,"23,314.07"
Bahamas,Central America and the Caribbean,1/1/2011,"21,129.19"
Barbados,Central America and the Caribbean,1/1/1901,"1,735.21"
Barbados,Central America and the Caribbean,1/1/1906,"1,793.31"
Barbados,Central America and the Caribbean,1/1/1911,"1,853.34"
Barbados,Central America and the Caribbean,1/1/1916,"1,963.08"
Barbados,Central America and the Caribbean,1/1/1921,"2,113.68"
Barbados,Central America and the Caribbean,1/1/1926,"2,275.83"
Barbados,Central America and the Caribbean,1/1/1931,"2,450.42"
Barbados,Central America and the Caribbean,1/1/1936,"2,638.41"
Barbados,Central America and the Caribbean,1/1/1941,"2,840.81"
Barbados,Central America and the Caribbean,1/1/1946,"3,058.75"
Barbados,Central America and the Caribbean,1/1/1951,"3,409.50"
Barbados,Central America and the Caribbean,1/1/1956,"4,365.40"
Barbados,Central America and the Caribbean,1/1/1961,"5,711.59"
Barbados,Central America and the Caribbean,1/1/1966,"7,057.57"
Barbados,Central America and the Caribbean,1/1/1971,"9,814.38"
Barbados,Central America and the Caribbean,1/1/1976,"11,414.78"
Barbados,Central America and the Caribbean,1/1/1981,"13,504.66"
Barbados,Central America and the Caribbean,1/1/1986,"13,560.56"
Barbados,Central America and the Caribbean,1/1/1991,"13,293.90"
Barbados,Central America and the Caribbean,1/1/1996,"13,356.08"
Barbados,Central America and the Caribbean,1/1/2001,"14,533.64"
Barbados,Central America and the Caribbean,1/1/2006,"16,703.59"
Barbados,Central America and the Caribbean,1/1/2011,"16,274.00"
Belize,Central America and the Caribbean,1/1/1901,925.68
Belize,Central America and the Caribbean,1/1/1906,956.67
Belize,Central America and the Caribbean,1/1/1911,988.69
Belize,Central America and the Caribbean,1/1/1916,"1,047.23"
Belize,Central America and the Caribbean,1/1/1921,"1,127.57"
Belize,Central America and the Caribbean,1/1/1926,"1,214.07"
Belize,Central America and the Caribbean,1/1/1931,"1,307.21"
Belize,Central America and the Caribbean,1/1/1936,"1,407.50"
Belize,Central America and the Caribbean,1/1/1941,"1,515.47"
Belize,Central America and the Caribbean,1/1/1946,"1,631.73"
Belize,Central America and the Caribbean,1/1/1951,"1,744.40"
Belize,Central America and the Caribbean,1/1/1956,"1,812.27"
Belize,Central America and the Caribbean,1/1/1961,"1,893.40"
Belize,Central America and the Caribbean,1/1/1966,"2,049.49"
Belize,Central America and the Caribbean,1/1/1971,"2,403.23"
Belize,Central America and the Caribbean,1/1/1976,"3,039.69"
Belize,Central America and the Caribbean,1/1/1981,"3,841.46"
Belize,Central America and the Caribbean,1/1/1986,"3,554.57"
Belize,Central America and the Caribbean,1/1/1991,"5,298.35"
Belize,Central America and the Caribbean,1/1/1996,"5,632.53"
Belize,Central America and the Caribbean,1/1/2001,"6,669.07"
Belize,Central America and the Caribbean,1/1/2006,"7,454.89"
Belize,Central America and the Caribbean,1/1/2011,"7,289.30"
Bolivia,South America,1/1/1901,"1,478.55"
Bolivia,South America,1/1/1906,"1,549.07"
Bolivia,South America,1/1/1911,"1,622.95"
Bolivia,South America,1/1/1916,"1,700.36"
Bolivia,South America,1/1/1921,"1,781.46"
Bolivia,South America,1/1/1926,"1,866.43"
Bolivia,South America,1/1/1931,"1,955.46"
Bolivia,South America,1/1/1936,"2,048.73"
Bolivia,South America,1/1/1941,"2,146.44"
Bolivia,South America,1/1/1946,"2,241.79"
Bolivia,South America,1/1/1951,"2,653.57"
Bolivia,South America,1/1/1956,"2,249.19"
Bolivia,South America,1/1/1961,"2,113.49"
Bolivia,South America,1/1/1966,"2,493.24"
Bolivia,South America,1/1/1971,"2,906.44"
Bolivia,South America,1/1/1976,"3,490.00"
Bolivia,South America,1/1/1981,"3,358.19"
Bolivia,South America,1/1/1986,"2,734.54"
Bolivia,South America,1/1/1991,"2,982.23"
Bolivia,South America,1/1/1996,"3,234.03"
Bolivia,South America,1/1/2001,"3,390.16"
Bolivia,South America,1/1/2006,"3,712.77"
Bolivia,South America,1/1/2011,"4,224.95"
Brazil,South America,1/1/1901,648.48
Brazil,South America,1/1/1906,696.97
Brazil,South America,1/1/1911,737.66
Brazil,South America,1/1/1916,729.69
Brazil,South America,1/1/1921,874.14
Brazil,South America,1/1/1926,989.1
Brazil,South America,1/1/1931,"1,056.70"
Brazil,South America,1/1/1936,"1,374.69"
Brazil,South America,1/1/1941,"1,443.76"
Brazil,South America,1/1/1946,"1,695.26"
Brazil,South America,1/1/1951,"2,020.23"
Brazil,South America,1/1/1956,"2,376.50"
Brazil,South America,1/1/1961,"3,214.19"
Brazil,South America,1/1/1966,"3,385.40"
Brazil,South America,1/1/1971,"4,554.85"
Brazil,South America,1/1/1976,"6,500.65"
Brazil,South America,1/1/1981,"7,128.81"
Brazil,South America,1/1/1986,"7,685.06"
Brazil,South America,1/1/1991,"7,097.83"
Brazil,South America,1/1/1996,"7,810.20"
Brazil,South America,1/1/2001,"8,022.52"
Brazil,South America,1/1/2006,"8,842.43"
Brazil,South America,1/1/2011,"10,383.07"
Canada,North America,1/1/1901,"4,493.99"
Canada,North America,1/1/1906,"5,581.55"
Canada,North America,1/1/1911,"6,113.16"
Canada,North America,1/1/1916,"6,742.36"
Canada,North America,1/1/1921,"4,871.63"
Canada,North America,1/1/1926,"6,526.05"
Canada,North America,1/1/1931,"5,810.09"
Canada,North America,1/1/1936,"5,984.97"
Canada,North America,1/1/1941,"8,780.77"
Canada,North America,1/1/1946,"10,058.50"
Canada,North America,1/1/1951,"10,932.47"
Canada,North America,1/1/1956,"12,555.55"
Canada,North America,1/1/1961,"12,817.92"
Canada,North America,1/1/1966,"15,884.84"
Canada,North America,1/1/1971,"18,229.64"
Canada,North America,1/1/1976,"21,626.09"
Canada,North America,1/1/1981,"23,904.53"
Canada,North America,1/1/1986,"25,921.17"
Canada,North America,1/1/1991,"26,491.60"
Canada,North America,1/1/1996,"28,074.84"
Canada,North America,1/1/2001,"32,570.57"
Canada,North America,1/1/2006,"35,644.47"
Canada,North America,1/1/2011,"35,741.47"
Chile,South America,1/1/1901,"2,249.32"
Chile,South America,1/1/1906,"2,437.44"
Chile,South America,1/1/1911,"2,921.34"
Chile,South America,1/1/1916,"2,930.10"
Chile,South America,1/1/1921,"2,398.38"
Chile,South America,1/1/1926,"2,884.86"
Chile,South America,1/1/1931,"2,244.42"
Chile,South America,1/1/1936,"2,881.79"
Chile,South America,1/1/1941,"3,178.60"
Chile,South America,1/1/1946,"3,743.95"
Chile,South America,1/1/1951,"3,775.99"
Chile,South America,1/1/1956,"4,004.52"
Chile,South America,1/1/1961,"4,418.96"
Chile,South America,1/1/1966,"5,044.56"
Chile,South America,1/1/1971,"5,664.81"
Chile,South America,1/1/1976,"4,399.45"
Chile,South America,1/1/1981,"6,003.99"
Chile,South America,1/1/1986,"5,290.96"
Chile,South America,1/1/1991,"6,877.27"
Chile,South America,1/1/1996,"9,620.05"
Chile,South America,1/1/2001,"10,665.20"
Chile,South America,1/1/2006,"12,845.60"
Chile,South America,1/1/2011,"14,735.14"
Colombia,South America,1/1/1901,636.89
Colombia,South America,1/1/1906,648.17
Colombia,South America,1/1/1911,772.97
Colombia,South America,1/1/1916,861.89
Colombia,South America,1/1/1921,"1,024.24"
Colombia,South America,1/1/1926,"1,255.50"
Colombia,South America,1/1/1931,"1,345.95"
Colombia,South America,1/1/1936,"1,641.72"
Colombia,South America,1/1/1941,"1,768.32"
Colombia,South America,1/1/1946,"1,913.78"
Colombia,South America,1/1/1951,"2,079.14"
Colombia,South America,1/1/1956,"2,321.02"
Colombia,South America,1/1/1961,"2,443.57"
Colombia,South America,1/1/1966,"2,657.98"
Colombia,South America,1/1/1971,"3,095.90"
Colombia,South America,1/1/1976,"3,706.30"
Colombia,South America,1/1/1981,"4,424.36"
Colombia,South America,1/1/1986,"4,719.37"
Colombia,South America,1/1/1991,"5,321.60"
Colombia,South America,1/1/1996,"6,022.65"
Colombia,South America,1/1/2001,"5,738.00"
Colombia,South America,1/1/2006,"6,648.24"
Colombia,South America,1/1/2011,"7,817.96"
Costa Rica,Central America and the Caribbean,1/1/1901,"1,636.72"
Costa Rica,Central America and the Caribbean,1/1/1906,"1,729.47"
Costa Rica,Central America and the Caribbean,1/1/1911,"1,827.48"
Costa Rica,Central America and the Caribbean,1/1/1916,"1,931.04"
Costa Rica,Central America and the Caribbean,1/1/1921,"1,930.71"
Costa Rica,Central America and the Caribbean,1/1/1926,"2,239.72"
Costa Rica,Central America and the Caribbean,1/1/1931,"1,956.83"
Costa Rica,Central America and the Caribbean,1/1/1936,"1,988.51"
Costa Rica,Central America and the Caribbean,1/1/1941,"2,414.62"
Costa Rica,Central America and the Caribbean,1/1/1946,"2,186.31"
Costa Rica,Central America and the Caribbean,1/1/1951,"2,425.02"
Costa Rica,Central America and the Caribbean,1/1/1956,"2,859.88"
Costa Rica,Central America and the Caribbean,1/1/1961,"3,383.62"
Costa Rica,Central America and the Caribbean,1/1/1966,"4,049.72"
Costa Rica,Central America and the Caribbean,1/1/1971,"4,833.79"
Costa Rica,Central America and the Caribbean,1/1/1976,"5,600.27"
Costa Rica,Central America and the Caribbean,1/1/1981,"5,817.93"
Costa Rica,Central America and the Caribbean,1/1/1986,"5,525.60"
Costa Rica,Central America and the Caribbean,1/1/1991,"5,885.81"
Costa Rica,Central America and the Caribbean,1/1/1996,"6,444.68"
Costa Rica,Central America and the Caribbean,1/1/2001,"7,627.11"
Costa Rica,Central America and the Caribbean,1/1/2006,"9,231.72"
Costa Rica,Central America and the Caribbean,1/1/2011,"10,427.31"
Cuba,Central America and the Caribbean,1/1/1901,"2,966.27"
Cuba,Central America and the Caribbean,1/1/1906,"3,149.41"
Cuba,Central America and the Caribbean,1/1/1911,"3,343.85"
Cuba,Central America and the Caribbean,1/1/1916,"3,550.30"
Cuba,Central America and the Caribbean,1/1/1921,"3,769.49"
Cuba,Central America and the Caribbean,1/1/1926,"4,002.21"
Cuba,Central America and the Caribbean,1/1/1931,"3,142.29"
Cuba,Central America and the Caribbean,1/1/1936,"3,982.61"
Cuba,Central America and the Caribbean,1/1/1941,"4,047.45"
Cuba,Central America and the Caribbean,1/1/1946,"4,793.61"
Cuba,Central America and the Caribbean,1/1/1951,"5,507.89"
Cuba,Central America and the Caribbean,1/1/1956,"5,429.24"
Cuba,Central America and the Caribbean,1/1/1961,"5,190.10"
Cuba,Central America and the Caribbean,1/1/1966,"5,193.19"
Cuba,Central America and the Caribbean,1/1/1971,"5,155.90"
Cuba,Central America and the Caribbean,1/1/1976,"6,173.86"
Cuba,Central America and the Caribbean,1/1/1981,"7,208.80"
Cuba,Central America and the Caribbean,1/1/1986,"7,651.77"
Cuba,Central America and the Caribbean,1/1/1991,"6,537.35"
Cuba,Central America and the Caribbean,1/1/1996,"5,277.62"
Cuba,Central America and the Caribbean,1/1/2001,"6,270.00"
Cuba,Central America and the Caribbean,1/1/2006,"8,292.96"
Cuba,Central America and the Caribbean,1/1/2011,"9,890.80"
Dominica,Central America and the Caribbean,1/1/1901,"1,173.14"
Dominica,Central America and the Caribbean,1/1/1906,"1,212.41"
Dominica,Central America and the Caribbean,1/1/1911,"1,253.00"
Dominica,Central America and the Caribbean,1/1/1916,"1,327.19"
Dominica,Central America and the Caribbean,1/1/1921,"1,429.01"
Dominica,Central America and the Caribbean,1/1/1926,"1,538.63"
Dominica,Central America and the Caribbean,1/1/1931,"1,656.67"
Dominica,Central America and the Caribbean,1/1/1936,"1,783.77"
Dominica,Central America and the Caribbean,1/1/1941,"1,920.61"
Dominica,Central America and the Caribbean,1/1/1946,"2,067.95"
Dominica,Central America and the Caribbean,1/1/1951,"2,218.75"
Dominica,Central America and the Caribbean,1/1/1956,"2,347.15"
Dominica,Central America and the Caribbean,1/1/1961,"2,482.99"
Dominica,Central America and the Caribbean,1/1/1966,"2,626.68"
Dominica,Central America and the Caribbean,1/1/1971,"2,922.62"
Dominica,Central America and the Caribbean,1/1/1976,"3,793.80"
Dominica,Central America and the Caribbean,1/1/1981,"4,280.58"
Dominica,Central America and the Caribbean,1/1/1986,"5,403.89"
Dominica,Central America and the Caribbean,1/1/1991,"6,867.48"
Dominica,Central America and the Caribbean,1/1/1996,"7,617.78"
Dominica,Central America and the Caribbean,1/1/2001,"7,891.85"
Dominica,Central America and the Caribbean,1/1/2006,"8,897.04"
Dominica,Central America and the Caribbean,1/1/2011,"10,187.17"
Ecuador,South America,1/1/1901,"1,798.88"
Ecuador,South America,1/1/1906,"1,855.89"
Ecuador,South America,1/1/1911,"1,914.71"
Ecuador,South America,1/1/1916,"1,975.40"
Ecuador,South America,1/1/1921,"2,038.00"
Ecuador,South America,1/1/1926,"2,102.59"
Ecuador,South America,1/1/1931,"2,169.23"
Ecuador,South America,1/1/1936,"2,237.98"
Ecuador,South America,1/1/1941,"2,319.07"
Ecuador,South America,1/1/1946,"2,760.50"
Ecuador,South America,1/1/1951,"3,217.46"
Ecuador,South America,1/1/1956,"3,717.83"
Ecuador,South America,1/1/1961,"3,995.41"
Ecuador,South America,1/1/1966,"4,480.75"
Ecuador,South America,1/1/1971,"5,122.72"
Ecuador,South America,1/1/1976,"6,463.83"
Ecuador,South America,1/1/1981,"7,331.12"
Ecuador,South America,1/1/1986,"7,096.73"
Ecuador,South America,1/1/1991,"7,042.35"
Ecuador,South America,1/1/1996,"7,331.53"
Ecuador,South America,1/1/2001,"5,812.30"
Ecuador,South America,1/1/2006,"6,721.10"
Ecuador,South America,1/1/2011,"7,641.52"
El Salvador,Central America and the Caribbean,1/1/1901,"1,568.21"
El Salvador,Central America and the Caribbean,1/1/1906,"1,634.20"
El Salvador,Central America and the Caribbean,1/1/1911,"1,702.96"
El Salvador,Central America and the Caribbean,1/1/1916,"1,774.62"
El Salvador,Central America and the Caribbean,1/1/1921,"1,808.24"
El Salvador,Central America and the Caribbean,1/1/1926,"2,102.98"
El Salvador,Central America and the Caribbean,1/1/1931,"1,817.38"
El Salvador,Central America and the Caribbean,1/1/1936,"1,937.73"
El Salvador,Central America and the Caribbean,1/1/1941,"2,112.35"
El Salvador,Central America and the Caribbean,1/1/1946,"2,154.67"
El Salvador,Central America and the Caribbean,1/1/1951,"2,911.20"
El Salvador,Central America and the Caribbean,1/1/1956,"3,346.59"
El Salvador,Central America and the Caribbean,1/1/1961,"3,478.67"
El Salvador,Central America and the Caribbean,1/1/1966,"4,271.86"
El Salvador,Central America and the Caribbean,1/1/1971,"4,370.84"
El Salvador,Central America and the Caribbean,1/1/1976,"4,980.98"
El Salvador,Central America and the Caribbean,1/1/1981,"4,299.26"
El Salvador,Central America and the Caribbean,1/1/1986,"4,109.36"
El Salvador,Central America and the Caribbean,1/1/1991,"4,213.31"
El Salvador,Central America and the Caribbean,1/1/1996,"5,037.56"
El Salvador,Central America and the Caribbean,1/1/2001,"5,332.23"
El Salvador,Central America and the Caribbean,1/1/2006,"5,595.87"
El Salvador,Central America and the Caribbean,1/1/2011,"5,765.70"
Greenland,North America,1/1/1901,"1,066.70"
Greenland,North America,1/1/1906,"1,130.80"
Greenland,North America,1/1/1911,"1,198.75"
Greenland,North America,1/1/1916,"1,372.85"
Greenland,North America,1/1/1921,"1,655.33"
Greenland,North America,1/1/1926,"1,995.93"
Greenland,North America,1/1/1931,"2,406.61"
Greenland,North America,1/1/1936,"2,901.79"
Greenland,North America,1/1/1941,"3,498.86"
Greenland,North America,1/1/1946,"4,218.79"
Greenland,North America,1/1/1951,"5,201.19"
Greenland,North America,1/1/1956,"7,008.71"
Greenland,North America,1/1/1961,"9,444.38"
Greenland,North America,1/1/1966,"12,726.48"
Greenland,North America,1/1/1971,"17,882.75"
Greenland,North America,1/1/1976,"21,780.94"
Greenland,North America,1/1/1981,"28,343.68"
Greenland,North America,1/1/1986,"27,768.54"
Greenland,North America,1/1/1991,"28,095.46"
Greenland,North America,1/1/1996,"28,266.21"
Greenland,North America,1/1/2001,"33,509.28"
Greenland,North America,1/1/2006,"36,172.03"
Greenland,North America,1/1/2011,"39,867.87"
Grenada,Central America and the Caribbean,1/1/1901,"1,080.53"
Grenada,Central America and the Caribbean,1/1/1906,"1,102.87"
Grenada,Central America and the Caribbean,1/1/1911,"1,125.67"
Grenada,Central America and the Caribbean,1/1/1916,"1,148.94"
Grenada,Central America and the Caribbean,1/1/1921,"1,172.69"
Grenada,Central America and the Caribbean,1/1/1926,"1,196.93"
Grenada,Central America and the Caribbean,1/1/1931,"1,221.68"
Grenada,Central America and the Caribbean,1/1/1936,"1,246.93"
Grenada,Central America and the Caribbean,1/1/1941,"1,272.71"
Grenada,Central America and the Caribbean,1/1/1946,"1,299.02"
Grenada,Central America and the Caribbean,1/1/1951,"1,350.79"
Grenada,Central America and the Caribbean,1/1/1956,"1,513.24"
Grenada,Central America and the Caribbean,1/1/1961,"1,695.23"
Grenada,Central America and the Caribbean,1/1/1966,"1,899.11"
Grenada,Central America and the Caribbean,1/1/1971,"2,231.37"
Grenada,Central America and the Caribbean,1/1/1976,"3,209.18"
Grenada,Central America and the Caribbean,1/1/1981,"3,862.08"
Grenada,Central America and the Caribbean,1/1/1986,"4,491.84"
Grenada,Central America and the Caribbean,1/1/1991,"6,057.94"
Grenada,Central America and the Caribbean,1/1/1996,"6,430.85"
Grenada,Central America and the Caribbean,1/1/2001,"8,320.16"
Grenada,Central America and the Caribbean,1/1/2006,"8,737.78"
Grenada,Central America and the Caribbean,1/1/2011,"8,626.45"
Guatemala,Central America and the Caribbean,1/1/1901,"1,303.52"
Guatemala,Central America and the Caribbean,1/1/1906,"1,356.61"
Guatemala,Central America and the Caribbean,1/1/1911,"1,411.86"
Guatemala,Central America and the Caribbean,1/1/1916,"1,469.36"
Guatemala,Central America and the Caribbean,1/1/1921,"1,648.07"
Guatemala,Central America and the Caribbean,1/1/1926,"1,740.36"
Guatemala,Central America and the Caribbean,1/1/1931,"1,932.03"
Guatemala,Central America and the Caribbean,1/1/1936,"2,748.75"
Guatemala,Central America and the Caribbean,1/1/1941,"3,368.07"
Guatemala,Central America and the Caribbean,1/1/1946,"2,387.43"
Guatemala,Central America and the Caribbean,1/1/1951,"2,448.64"
Guatemala,Central America and the Caribbean,1/1/1956,"2,550.95"
Guatemala,Central America and the Caribbean,1/1/1961,"2,733.06"
Guatemala,Central America and the Caribbean,1/1/1966,"3,169.15"
Guatemala,Central America and the Caribbean,1/1/1971,"3,831.07"
Guatemala,Central America and the Caribbean,1/1/1976,"4,621.21"
Guatemala,Central America and the Caribbean,1/1/1981,"5,147.50"
Guatemala,Central America and the Caribbean,1/1/1986,"4,220.98"
Guatemala,Central America and the Caribbean,1/1/1991,"4,358.67"
Guatemala,Central America and the Caribbean,1/1/1996,"4,627.13"
Guatemala,Central America and the Caribbean,1/1/2001,"4,872.04"
Guatemala,Central America and the Caribbean,1/1/2006,"5,034.10"
Guatemala,Central America and the Caribbean,1/1/2011,"5,265.07"
Guyana,South America,1/1/1901,"1,552.58"
Guyana,South America,1/1/1906,"1,604.55"
Guyana,South America,1/1/1911,"1,658.27"
Guyana,South America,1/1/1916,"1,756.46"
Guyana,South America,1/1/1921,"1,891.20"
Guyana,South America,1/1/1926,"2,036.29"
Guyana,South America,1/1/1931,"2,192.50"
Guyana,South America,1/1/1936,"2,360.70"
Guyana,South America,1/1/1941,"2,541.81"
Guyana,South America,1/1/1946,"2,736.80"
Guyana,South America,1/1/1951,"2,823.72"
Guyana,South America,1/1/1956,"2,456.42"
Guyana,South America,1/1/1961,"2,236.82"
Guyana,South America,1/1/1966,"2,277.62"
Guyana,South America,1/1/1971,"2,540.96"
Guyana,South America,1/1/1976,"2,859.95"
Guyana,South America,1/1/1981,"2,688.36"
Guyana,South America,1/1/1986,"2,133.58"
Guyana,South America,1/1/1991,"2,077.16"
Guyana,South America,1/1/1996,"2,944.07"
Guyana,South America,1/1/2001,"3,209.76"
Guyana,South America,1/1/2006,"3,386.17"
Guyana,South America,1/1/2011,"4,139.26"
Haiti,Central America and the Caribbean,1/1/1901,"1,134.93"
Haiti,Central America and the Caribbean,1/1/1906,"1,193.28"
Haiti,Central America and the Caribbean,1/1/1911,"1,254.63"
Haiti,Central America and the Caribbean,1/1/1916,"1,319.13"
Haiti,Central America and the Caribbean,1/1/1921,"1,386.94"
Haiti,Central America and the Caribbean,1/1/1926,"1,458.24"
Haiti,Central America and the Caribbean,1/1/1931,"1,533.21"
Haiti,Central America and the Caribbean,1/1/1936,"1,612.03"
Haiti,Central America and the Caribbean,1/1/1941,"1,694.91"
Haiti,Central America and the Caribbean,1/1/1946,"1,759.43"
Haiti,Central America and the Caribbean,1/1/1951,"1,771.24"
Haiti,Central America and the Caribbean,1/1/1956,"1,871.58"
Haiti,Central America and the Caribbean,1/1/1961,"1,673.93"
Haiti,Central America and the Caribbean,1/1/1966,"1,514.23"
Haiti,Central America and the Caribbean,1/1/1971,"1,613.19"
Haiti,Central America and the Caribbean,1/1/1976,"1,880.97"
Haiti,Central America and the Caribbean,1/1/1981,"2,118.88"
Haiti,Central America and the Caribbean,1/1/1986,"1,876.28"
Haiti,Central America and the Caribbean,1/1/1991,"1,716.39"
Haiti,Central America and the Caribbean,1/1/1996,"1,329.43"
Haiti,Central America and the Caribbean,1/1/2001,"1,303.77"
Haiti,Central America and the Caribbean,1/1/2006,"1,181.95"
Haiti,Central America and the Caribbean,1/1/2011,"1,193.87"
Honduras,Central America and the Caribbean,1/1/1901,"1,621.93"
Honduras,Central America and the Caribbean,1/1/1906,"1,727.53"
Honduras,Central America and the Caribbean,1/1/1911,"1,840.01"
Honduras,Central America and the Caribbean,1/1/1916,"1,959.80"
Honduras,Central America and the Caribbean,1/1/1921,"2,027.39"
Honduras,Central America and the Caribbean,1/1/1926,"2,096.58"
Honduras,Central America and the Caribbean,1/1/1931,"2,531.07"
Honduras,Central America and the Caribbean,1/1/1936,"1,833.69"
Honduras,Central America and the Caribbean,1/1/1941,"1,841.12"
Honduras,Central America and the Caribbean,1/1/1946,"2,073.83"
Honduras,Central America and the Caribbean,1/1/1951,"2,175.90"
Honduras,Central America and the Caribbean,1/1/1956,"2,191.20"
Honduras,Central America and the Caribbean,1/1/1961,"2,243.20"
Honduras,Central America and the Caribbean,1/1/1966,"2,489.67"
Honduras,Central America and the Caribbean,1/1/1971,"2,528.59"
Honduras,Central America and the Caribbean,1/1/1976,"2,994.99"
Honduras,Central America and the Caribbean,1/1/1981,"3,287.52"
Honduras,Central America and the Caribbean,1/1/1986,"2,952.67"
Honduras,Central America and the Caribbean,1/1/1991,"2,999.13"
Honduras,Central America and the Caribbean,1/1/1996,"3,094.71"
Honduras,Central America and the Caribbean,1/1/2001,"3,093.68"
Honduras,Central America and the Caribbean,1/1/2006,"3,409.39"
Honduras,Central America and the Caribbean,1/1/2011,"3,572.64"
Jamaica,Central America and the Caribbean,1/1/1901,"1,130.79"
Jamaica,Central America and the Caribbean,1/1/1906,"1,147.74"
Jamaica,Central America and the Caribbean,1/1/1911,"1,164.95"
Jamaica,Central America and the Caribbean,1/1/1916,"1,239.82"
Jamaica,Central America and the Caribbean,1/1/1921,"1,361.87"
Jamaica,Central America and the Caribbean,1/1/1926,"1,495.94"
Jamaica,Central America and the Caribbean,1/1/1931,"1,643.21"
Jamaica,Central America and the Caribbean,1/1/1936,"1,804.97"
Jamaica,Central America and the Caribbean,1/1/1941,"1,871.18"
Jamaica,Central America and the Caribbean,1/1/1946,"3,178.64"
Jamaica,Central America and the Caribbean,1/1/1951,"2,721.41"
Jamaica,Central America and the Caribbean,1/1/1956,"4,220.50"
Jamaica,Central America and the Caribbean,1/1/1961,"5,207.34"
Jamaica,Central America and the Caribbean,1/1/1966,"6,029.79"
Jamaica,Central America and the Caribbean,1/1/1971,"7,329.12"
